log_norm =    -5.439, log(sum) =    1.813, log(p) = 1.386294, -p log(sum) = 0.906606 # m = 2, p = 0.250000, a = 27, nz = 0, time = 0.000247
log_norm =   -11.135, log(sum) =    2.969, log(p) = 2.079442, -p log(sum) = 1.020734 # m = 3, p = 0.125000, a = 83, nz = 0, time = 0.000460
log_norm =   -31.809, log(sum) =    3.712, log(p) = 2.772589, -p log(sum) = 1.756117 # m = 4, p = 0.062500, a = 221, nz = 0, time = 0.001669
log_norm =   -63.940, log(sum) =    4.752, log(p) = 3.465736, -p log(sum) = 1.849627 # m = 5, p = 0.031250, a = 554, nz = 0, time = 0.008537
log_norm =  -145.172, log(sum) =    5.544, log(p) = 4.158883, -p log(sum) = 2.181686 # m = 6, p = 0.015625, a = 1330, nz = 0, time = 0.047071
log_norm =  -340.062, log(sum) =    5.757, log(p) = 4.852030, -p log(sum) = 2.611760 # m = 7, p = 0.007812, a = 3105, nz = 0, time = 0.255240
log_norm =  -661.665, log(sum) =    6.465, log(p) = 5.545177, -p log(sum) = 2.559376 # m = 8, p = 0.003906, a = 7097, nz = 0, time = 1.331460
log_norm = -1449.532, log(sum) =    7.169, log(p) = 6.238325, -p log(sum) = 2.817114 # m = 9, p = 0.001953, a = 15970, nz = 0, time = 6.810181
log_norm = -3086.818, log(sum) =    7.870, log(p) = 6.931472, -p log(sum) = 3.006785 # m = 10, p = 0.000977, a = 35489, nz = 0, time = 35.035072
log_norm = -6368.276, log(sum) =    8.569, log(p) = 7.624619, -p log(sum) = 3.105326 # m = 11, p = 0.000488, a = 78076, nz = 0, time = 183.472366
Elapsed in c_30: 183.474385 secs

